faculty,programme,programme_slug,career_title
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Linguist
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Language Researcher
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Translator
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Interpreter
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Editor
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Lexicographer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Proofreader
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Language Planner
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Copywriter
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Scriptwriter
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Speech Analyst
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Content Developer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Language Teacher
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Communication Officer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Academic Researcher
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Lecturer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Curriculum Developer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Language Consultant
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Media Analyst
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Public Relations Officer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Text Analyst
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Subtitling Specialist
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LINGUISTICS,bachelor-of-malay-linguistic,Technical Writer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Writer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Novelist
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Poet
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Editor
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Scriptwriter
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Copywriter
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Content Creator
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Literature Researcher
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Lecturer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Language Teacher
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Cultural Officer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Museum Curator
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Publisher
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Journalist
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Literary Critic
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Book Reviewer
